source_id,jurisdiction,abbr,jurisdiction_type,agency_type,agency_name,phone,toll_free,website,service_area,resource_classification,source_name,source_url,last_verified,verification_status,notes
vr:de:general,Delaware,DE,State,General VR,Delaware Division of Vocational Rehabilitation,(302) 761-8275,,https://labor.delaware.gov/divisions/dvr,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:dc:general,District of Columbia,DC,District,General VR,District of Columbia Department on Disability Services – Rehabilitation Services Administration,(202) 730-1700,,https://dds.dc.gov/service/vocational-rehabilitation-services,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:fl:blind,Florida,FL,State,Blind Services,Florida Division of Blind Services,(850) 245-0300,(800) 342-1828,https://dbs.fldoe.org,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:fl:general,Florida,FL,State,General VR,Florida Division of Vocational Rehabilitation,(850) 245-3399,(800) 451-4327,https://www.rehabworks.org,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:ga:general,Georgia,GA,State,General VR,Georgia Vocational Rehabilitation Agency,(866) 489-0001,,https://gvs.georgia.gov,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:gu:general,Guam,GU,Territory,General VR,Department of Integrated Services for Individuals with Disabilities – Division of Vocational Rehabilitation,(671) 475-4200,,https://disid.guam.gov,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:hi:general,Hawaii,HI,State,General VR,Hawaii Division of Vocational Rehabilitation,(808) 586-4993,,https://humanservices.hawaii.gov/vr,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:id:blind,Idaho,ID,State,Blind Services,Idaho Commission for the Blind and Visually Impaired,(208) 334-3220,(800) 542-8688,https://icbvi.idaho.gov,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:id:general,Idaho,ID,State,General VR,Idaho Division of Vocational Rehabilitation,(208) 334-3390,,https://vr.idaho.gov,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:il:general,Illinois,IL,State,General VR,"Illinois Department of Human Services, Division of Rehabilitation Services",,(800) 843-6154,https://www.dhs.state.il.us/page.aspx?item=29737,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:in:general,Indiana,IN,State,General VR,Indiana Bureau of Rehabilitation Services,,(800) 545-7763,https://www.in.gov/fssa/ddrs/rehabilitation-employment/vocational-rehabilitation-employment,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:ia:blind,Iowa,IA,State,Blind Services,Iowa Department for the Blind,(515) 281-1333,(800) 362-2587,https://blind.iowa.gov,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:ia:general,Iowa,IA,State,General VR,Iowa Vocational Rehabilitation Services,(319) 830-0423,,https://workforce.iowa.gov/vr,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:ks:general,Kansas,KS,State,General VR,Kansas Rehabilitation Services,(785) 368-7471,(866) 213-9079,https://www.dcf.ks.gov/services/RS/Pages/Employment-Services.aspx,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:ky:general,Kentucky,KY,State,General VR,Kentucky Office of Vocational Rehabilitation,(502) 782-3402,(800) 372-7172,https://kcc.ky.gov/Vocational-Rehabilitation,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:la:general,Louisiana,LA,State,General VR,Louisiana Rehabilitation Services,(225) 219-2225,(800) 737-2958,https://www.laworks.net/WorkforceDev/LRS/LRS_Main.asp,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:me:blind,Maine,ME,State,Blind Services,Maine Division for the Blind and Visually Impaired,(207) 623-7949,,https://www.maine.gov/rehab/dbvi,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:me:general,Maine,ME,State,General VR,Maine Division of Vocational Rehabilitation,(207) 623-6799,,https://www.maine.gov/rehab/dvr,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:md:general,Maryland,MD,State,General VR,Maryland Division of Rehabilitation Services,(410) 554-9451,(888) 554-0334,https://dors.maryland.gov,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:ma:blind,Massachusetts,MA,State,Blind Services,Massachusetts Commission for the Blind,(617) 727-5550,(800) 392-6450,https://www.mass.gov/orgs/massachusetts-commission-for-the-blind,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:ma:general,Massachusetts,MA,State,General VR,MassAbility,(617) 204-3600,(800) 245-6543,https://www.mass.gov/orgs/massability,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:mi:blind,Michigan,MI,State,Blind Services,Michigan Bureau of Services for Blind Persons,(517) 373-3390,,https://www.michigan.gov/leo/bureaus-agencies/bureau-of-services-for-blind-persons,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:mi:general,Michigan,MI,State,General VR,Michigan Rehabilitation Services,(517) 373-2062,(800) 292-4200,https://www.michigan.gov/leo/bureaus-agencies/mrs,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:mn:blind,Minnesota,MN,State,Blind Services,Minnesota State Services for the Blind,(651) 642-0500,(800) 652-9000,https://mn.gov/deed/job-seekers/blind-visual-impaired,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:mn:general,Minnesota,MN,State,General VR,Minnesota Vocational Rehabilitation Services,(651) 259-7367,,https://mn.gov/deed/job-seekers/disabilities,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:ms:general,Mississippi,MS,State,General VR,Mississippi Department of Rehabilitation Services,,(800) 443-1000,https://www.mdrs.ms.gov,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:mo:blind,Missouri,MO,State,Blind Services,Missouri Rehabilitation Services for the Blind,(573) 751-4249,(800) 592-6004,https://dss.mo.gov/fsd/rsb,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:mo:general,Missouri,MO,State,General VR,Missouri Vocational Rehabilitation,(573) 751-3251,(877) 222-8963,https://dese.mo.gov/adult-learning-rehabilitation-services/vocational-rehabilitation,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:mt:general,Montana,MT,State,General VR,Montana Vocational Rehabilitation and Blind Services,(406) 444-4179,(877) 296-1197,https://dphhs.mt.gov/detd/vocrehab,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:ne:blind,Nebraska,NE,State,Blind Services,Nebraska Commission for the Blind and Visually Impaired,(402) 471-2891,(877) 809-2419,https://ncbvi.nebraska.gov,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:ne:general,Nebraska,NE,State,General VR,Nebraska Vocational Rehabilitation,(402) 471-3644,(877) 637-3422,https://vr.nebraska.gov,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:nv:general,Nevada,NV,State,General VR,Nevada Rehabilitation Division – Bureau of Vocational Rehabilitation,(775) 684-4040 / (702) 486-5230,,https://detr.nv.gov/Page/Rehabilitation_Division,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:nh:general,New Hampshire,NH,State,General VR,New Hampshire Vocational Rehabilitation,(603) 271-3471,(800) 299-1647,https://www.education.nh.gov/who-we-are/deputy-commissioner/bureau-vocational-rehabilitation,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:nj:blind,New Jersey,NJ,State,Blind Services,New Jersey Commission for the Blind and Visually Impaired,(973) 648-3333,(877) 685-8878,https://www.nj.gov/humanservices/cbvi,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:nj:general,New Jersey,NJ,State,General VR,New Jersey Division of Vocational Rehabilitation Services,(609) 292-7318,(866) 871-7867,https://www.nj.gov/labor/career-services/special-services/individuals-with-disabilities,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:nm:blind,New Mexico,NM,State,Blind Services,New Mexico Commission for the Blind,(505) 827-4479,,https://www.cfb.state.nm.us,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:nm:general,New Mexico,NM,State,General VR,New Mexico Division of Vocational Rehabilitation,(505) 954-8500,(800) 224-7005,https://www.dvr.state.nm.us,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:ny:blind,New York,NY,State,Blind Services,New York State Commission for the Blind,,(866) 871-3000,https://ocfs.ny.gov/programs/nyscb,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:ny:general,New York,NY,State,General VR,Adult Career and Continuing Education Services – Vocational Rehabilitation,,(800) 222-5627,https://www.acces.nysed.gov/vr,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:nc:blind,North Carolina,NC,State,Blind Services,North Carolina Division of Services for the Blind,(919) 527-6704,,https://www.ncdhhs.gov/divisions/services-blind,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:nc:general,North Carolina,NC,State,General VR,North Carolina Division of Employment and Independence for People with Disabilities,(919) 855-3500,(800) 689-9090,https://www.ncdhhs.gov/eipd,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:nd:general,North Dakota,ND,State,General VR,North Dakota Vocational Rehabilitation,(701) 328-8950,(800) 755-2745,https://www.hhs.nd.gov/vr,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:mp:general,Northern Mariana Islands,MP,Territory,General VR,Northern Mariana Islands Office of Vocational Rehabilitation,(670) 322-6537,,https://www.ovrgov.net,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:oh:general,Ohio,OH,State,General VR,Opportunities for Ohioans with Disabilities,(866) 895-0058,,https://ood.ohio.gov,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:ok:general,Oklahoma,OK,State,General VR,Oklahoma Department of Rehabilitation Services,(405) 951-3400,(800) 845-8476,https://oklahoma.gov/okdrs.html,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:or:blind,Oregon,OR,State,Blind Services,Oregon Commission for the Blind,(971) 673-1588,,https://www.oregon.gov/blind,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:or:general,Oregon,OR,State,General VR,Oregon Vocational Rehabilitation,(503) 945-5880,(877) 277-0513,https://www.oregon.gov/odhs/vr,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:pa:general,Pennsylvania,PA,State,General VR,Pennsylvania Office of Vocational Rehabilitation,(717) 787-5244,(800) 442-6351,https://www.pa.gov/agencies/dli/programs-services/disability-and-vocational-rehabilitation.html,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:pr:general,Puerto Rico,PR,Territory,General VR,Administración de Rehabilitación Vocacional,(787) 729-0160,,https://www.arv.pr.gov,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:ri:general,Rhode Island,RI,State,General VR,Rhode Island Office of Rehabilitation Services,(401) 421-7005,,https://ors.ri.gov,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:sc:blind,South Carolina,SC,State,Blind Services,South Carolina Commission for the Blind,(803) 898-8731,(888) 335-5951,https://sccb.sc.gov,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:sc:general,South Carolina,SC,State,General VR,South Carolina Vocational Rehabilitation Department,(803) 896-6500,(800) 832-7526,https://scvrd.net,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:sd:blind,South Dakota,SD,State,Blind Services,South Dakota Services to the Blind and Visually Impaired,(605) 773-4644,(800) 265-9684,https://dhs.sd.gov/en/sbvi,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:sd:general,South Dakota,SD,State,General VR,South Dakota Division of Rehabilitation Services,(605) 773-3195,(800) 265-9684,https://dhs.sd.gov/en/rehabilitation-services,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:tn:general,Tennessee,TN,State,General VR,Tennessee Vocational Rehabilitation,(833) 772-8347,,https://www.tn.gov/humanservices/ds/vocational-rehabilitation.html,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:tx:general,Texas,TX,State,General VR,"Texas Workforce Commission, Vocational Rehabilitation Division",(512) 936-3701,(800) 628-5115,https://www.twc.texas.gov/programs/vocational-rehabilitation,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:ut:general,Utah,UT,State,General VR,Utah State Office of Rehabilitation,(801) 538-7530,(800) 473-7530,https://jobs.utah.gov/usor,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:vt:blind,Vermont,VT,State,Blind Services,Vermont Division for the Blind and Visually Impaired,(802) 241-0337,(800) 639-5861,https://dbvi.vermont.gov,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:vt:general,Vermont,VT,State,General VR,HireAbility Vermont,(866) 879-6757,(866) 879-6757,https://www.hireabilityvt.com,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:vi:general,Virgin Islands,VI,Territory,General VR,Virgin Islands Division of Disabilities and Vocational Rehabilitation Services,(340) 773-2323 ext. 2134,,https://dhs.vi.gov/disabilities-rehabilitation,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:va:blind,Virginia,VA,State,Blind Services,Virginia Department for the Blind and Vision Impaired,(804) 371-3151,(800) 622-2155,https://www.dbvi.virginia.gov,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:va:general,Virginia,VA,State,General VR,Virginia Department for Aging and Rehabilitative Services,(804) 662-7000,(800) 552-5019,https://www.dars.virginia.gov,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:wa:blind,Washington,WA,State,Blind Services,Washington State Department of Services for the Blind,,(800) 552-7103,https://dsb.wa.gov,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:wa:general,Washington,WA,State,General VR,Washington Division of Vocational Rehabilitation,(360) 725-3636,(800) 637-5627,https://www.dshs.wa.gov/dvr,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:wv:general,West Virginia,WV,State,General VR,West Virginia Division of Rehabilitation Services,(304) 356-2060,(800) 642-8207,https://www.wvdrs.org,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:wi:general,Wisconsin,WI,State,General VR,Wisconsin Division of Vocational Rehabilitation,(608) 261-0050,(800) 442-3477,https://dwd.wisconsin.gov/dvr,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:wy:general,Wyoming,WY,State,General VR,Wyoming Division of Vocational Rehabilitation,(307) 777-8650,,https://dws.wyo.gov/dws-division/vocational-rehabilitation,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
